,code
1374,sh.603067
1375,sh.603068
1376,sh.603069
1377,sh.603071
1378,sh.603076
1379,sh.603077
1380,sh.603078
1381,sh.603079
1382,sh.603080
1383,sh.603081
1384,sh.603083
1385,sh.603085
1386,sh.603086
1387,sh.603087
1388,sh.603088
1389,sh.603089
1390,sh.603090
1391,sh.603093
1392,sh.603095
1393,sh.603096
1394,sh.603098
1395,sh.603099
1396,sh.603100
1397,sh.603101
1398,sh.603102
1399,sh.603103
1400,sh.603105
1401,sh.603106
1402,sh.603108
1403,sh.603109
1404,sh.603110
1405,sh.603111
1406,sh.603112
1407,sh.603113
1408,sh.603115
1409,sh.603116
1410,sh.603117
1411,sh.603118
1412,sh.603121
1413,sh.603122
1414,sh.603123
1415,sh.603126
1416,sh.603127
1417,sh.603128
1418,sh.603129
1419,sh.603131
1420,sh.603132
1421,sh.603133
1422,sh.603136
1423,sh.603138
1424,sh.603139
1425,sh.603150
1426,sh.603155
1427,sh.603156
1428,sh.603157
1429,sh.603158
1430,sh.603159
1431,sh.603160
1432,sh.603161
1433,sh.603165
1434,sh.603166
1435,sh.603167
1436,sh.603168
1437,sh.603169
1438,sh.603171
1439,sh.603176
1440,sh.603177
1441,sh.603178
1442,sh.603179
1443,sh.603180
1444,sh.603181
1445,sh.603183
1446,sh.603185
1447,sh.603186
1448,sh.603187
1449,sh.603188
1450,sh.603189
1451,sh.603192
1452,sh.603195
1453,sh.603196
1454,sh.603197
1455,sh.603198
1456,sh.603199
1457,sh.603200
1458,sh.603203
1459,sh.603208
1460,sh.603212
1461,sh.603213
1462,sh.603214
1463,sh.603215
1464,sh.603216
1465,sh.603217
1466,sh.603218
1467,sh.603219
1468,sh.603220
1469,sh.603221
1470,sh.603222
1471,sh.603223
1472,sh.603225
1473,sh.603226
1474,sh.603227
1475,sh.603228
1476,sh.603229
1477,sh.603230
1478,sh.603232
1479,sh.603233
1480,sh.603236
1481,sh.603238
1482,sh.603239
1483,sh.603256
1484,sh.603258
1485,sh.603259
1486,sh.603260
1487,sh.603266
1488,sh.603267
1489,sh.603268
1490,sh.603269
1491,sh.603277
1492,sh.603278
1493,sh.603279
1494,sh.603283
1495,sh.603286
1496,sh.603288
1497,sh.603289
1498,sh.603290
1499,sh.603297
1500,sh.603298
1501,sh.603299
1502,sh.603300
1503,sh.603301
1504,sh.603303
1505,sh.603305
1506,sh.603306
1507,sh.603308
1508,sh.603309
1509,sh.603311
1510,sh.603313
1511,sh.603315
1512,sh.603316
1513,sh.603317
1514,sh.603318
1515,sh.603319
1516,sh.603320
1517,sh.603321
1518,sh.603322
1519,sh.603323
1520,sh.603324
1521,sh.603326
1522,sh.603327
1523,sh.603328
1524,sh.603329
1525,sh.603330
1526,sh.603331
1527,sh.603332
1528,sh.603333
1529,sh.603335
1530,sh.603336
1531,sh.603337
1532,sh.603338
1533,sh.603339
1534,sh.603345
1535,sh.603348
1536,sh.603351
1537,sh.603353
1538,sh.603355
1539,sh.603356
1540,sh.603357
1541,sh.603358
1542,sh.603359
1543,sh.603360
1544,sh.603363
1545,sh.603365
1546,sh.603366
1547,sh.603367
1548,sh.603368
1549,sh.603369
1550,sh.603377
1551,sh.603378
1552,sh.603379
1553,sh.603380
1554,sh.603383
1555,sh.603385
1556,sh.603386
1557,sh.603387
1558,sh.603388
1559,sh.603389
1560,sh.603390
1561,sh.603392
1562,sh.603393
1563,sh.603396
1564,sh.603398
1565,sh.603399
1566,sh.603408
1567,sh.603416
1568,sh.603421
1569,sh.603429
1570,sh.603439
1571,sh.603444
1572,sh.603456
1573,sh.603458
1574,sh.603466
1575,sh.603477
1576,sh.603486
1577,sh.603488
1578,sh.603489
1579,sh.603496
1580,sh.603499
1581,sh.603500
1582,sh.603501
1583,sh.603505
1584,sh.603506
1585,sh.603507
1586,sh.603508
1587,sh.603511
1588,sh.603515
1589,sh.603516
1590,sh.603517
1591,sh.603518
1592,sh.603519
1593,sh.603520
1594,sh.603527
1595,sh.603528
1596,sh.603529
1597,sh.603530
1598,sh.603533
1599,sh.603535
1600,sh.603536
1601,sh.603538
1602,sh.603551
1603,sh.603555
1604,sh.603556
1605,sh.603557
1606,sh.603558
1607,sh.603559
1608,sh.603565
1609,sh.603566
1610,sh.603567
1611,sh.603568
1612,sh.603569
1613,sh.603577
1614,sh.603578
1615,sh.603579
1616,sh.603580
1617,sh.603583
1618,sh.603585
1619,sh.603586
1620,sh.603587
1621,sh.603588
1622,sh.603589
1623,sh.603590
1624,sh.603595
1625,sh.603596
1626,sh.603598
1627,sh.603599
1628,sh.603600
1629,sh.603601
